AÑO,CÓDIGO_MUNICIPIO,MUNICIPIO,CÓDIGO_DEPARTAMENTO,DEPARTAMENTO,CÓDIGO_ETC,ETC,POBLACIÓN_5_16,TASA_MATRICULACIÓN_5_16,COBERTURA_NETA,COBERTURA_NETA_TRANSICIÓN,COBERTURA_NETA_PRIMARIA,COBERTURA_NETA_SECUNDARIA,COBERTURA_NETA_MEDIA,COBERTURA_BRUTA,COBERTURA_BRUTA_TRANSICIÓN,COBERTURA_BRUTA_PRIMARIA,COBERTURA_BRUTA_SECUNDARIA,COBERTURA_BRUTA_MEDIA,TAMAÑO_PROMEDIO_DE_GRUPO,SEDES_CONECTADAS_A_INTERNET,DESERCIÓN,DESERCIÓN_TRANSICIÓN,DESERCIÓN_PRIMARIA,DESERCIÓN_SECUNDARIA,DESERCIÓN_MEDIA,APROBACIÓN,APROBACIÓN_TRANSICIÓN,APROBACIÓN_PRIMARIA,APROBACIÓN_SECUNDARIA,APROBACIÓN_MEDIA,REPROBACIÓN,REPROBACIÓN_TRANSICIÓN,REPROBACIÓN_PRIMARIA,REPROBACIÓN_SECUNDARIA,REPROBACIÓN_MEDIA,REPITENCIA,REPITENCIA_TRANSICIÓN,REPITENCIA_PRIMARIA,REPITENCIA_SECUNDARIA,REPITENCIA_MEDIA
2017,85010,Aguazul,85,Casanare,3825.0,Casanare (ETC),9664,78.1,78.09,51.32,76.74,67.8,38.76,90.9,81.43,94.92,98.11,71.88,26.48,28.89,2.06,3.65,1.72,2.23,1.78,91.49,0.0,94.33,86.35,92.67,6.45,0.0,3.95,11.42,5.55,2.03,0.17,1.84,3.21,0.55
2017,85015,Chameza,85,Casanare,3825.0,Casanare (ETC),604,58.4,58.44,49.06,56.33,60.2,22.86,65.23,58.49,62.45,78.61,49.52,22.071,11.11,2.41,3.23,0.65,3.47,4.35,95.72,0.0,98.04,93.06,95.65,1.87,0.0,1.31,3.47,0.0,2.41,0.0,3.27,2.78,0.0
2017,85125,Hato Corozal,85,Casanare,3825.0,Casanare (ETC),3437,88.9,88.86,49.67,87.19,65.34,33.46,106.08,88.0,122.48,105.23,73.38,20.283,16.67,2.73,2.65,1.45,4.64,2.65,89.74,0.0,93.11,82.05,92.86,7.53,0.0,5.44,13.31,4.5,1.72,0.0,1.03,2.63,3.17
2017,85136,La Salina,85,Casanare,3825.0,Casanare (ETC),368,70.9,70.92,47.06,69.68,66.12,36.21,76.63,67.65,81.29,81.82,58.62,16.5,12.5,1.06,4.35,0.79,1.01,0.0,86.88,0.0,93.65,73.74,94.12,12.06,0.0,5.56,25.25,5.88,5.67,4.35,7.14,4.04,5.88
2017,85139,Maní,85,Casanare,3825.0,Casanare (ETC),2566,122.5,122.53,91.63,118.81,103.4,53.65,139.05,124.65,152.89,146.95,95.53,23.616,29.03,3.7,3.88,3.13,4.86,2.47,89.99,0.0,93.55,82.43,93.21,6.31,0.0,3.32,12.71,4.32,3.3,0.39,3.13,3.93,4.32
2017,85162,Monterrey,85,Casanare,3825.0,Casanare (ETC),3547,91.9,91.94,72.52,88.99,81.86,53.81,108.29,93.71,113.51,110.31,98.65,27.08,84.62,3.79,4.0,3.56,4.25,3.24,92.12,0.4,93.22,89.42,93.74,4.09,0.4,3.22,6.33,3.02,1.93,0.0,1.78,2.75,1.3
2017,85225,Nunchía,85,Casanare,3825.0,Casanare (ETC),2257,78.2,78.16,46.12,80.95,62.43,29.49,89.06,71.84,105.05,87.15,59.27,21.155,9.52,3.12,2.03,1.88,4.51,6.08,91.89,0.68,94.35,88.37,85.64,5.0,0.68,3.77,7.12,8.29,0.27,0.0,0.31,0.35,0.0
2017,85230,Orocué,85,Casanare,3825.0,Casanare (ETC),2277,114.5,114.49,61.93,108.24,91.95,37.17,132.5,130.46,150.56,134.96,75.81,25.641,20.0,4.87,7.39,3.06,6.72,5.26,91.57,0.39,93.96,87.83,92.11,3.56,0.39,2.98,5.46,2.63,3.24,0.78,1.97,5.88,2.63
2017,85250,Paz de Ariporo,85,Casanare,3825.0,Casanare (ETC),6756,121.9,121.89,90.38,122.86,90.39,52.35,145.07,128.32,171.15,136.74,101.41,23.517,9.33,2.62,2.75,2.32,3.0,2.89,92.86,0.0,94.7,88.85,92.05,4.52,0.0,2.98,8.15,5.06,1.6,0.29,1.73,2.0,0.72
2017,85263,Pore,85,Casanare,3825.0,Casanare (ETC),1893,124.8,124.78,75.29,124.13,102.65,50.48,142.05,102.35,155.97,152.81,107.3,25.916,13.04,2.14,0.57,1.64,3.17,2.26,94.55,0.0,94.82,92.68,95.85,3.31,0.0,3.53,4.15,1.89,1.66,0.0,1.31,2.8,0.75
2017,85279,Recetor,85,Casanare,3825.0,Casanare (ETC),1141,16.0,15.95,7.84,12.96,14.67,10.27,24.8,10.78,31.89,22.83,17.84,9.5,9.09,1.59,0.0,0.0,2.99,3.85,97.35,0.0,100.0,94.03,96.15,1.06,0.0,0.0,2.99,0.0,3.17,0.0,2.35,5.97,0.0
2017,85300,Sabanalarga,85,Casanare,3825.0,Casanare (ETC),672,101.6,101.64,76.27,84.75,95.93,70.0,124.7,106.78,135.46,126.7,102.73,21.767,45.45,1.75,3.17,1.75,2.14,0.0,94.6,0.0,93.33,93.93,98.23,3.64,0.0,4.91,3.93,1.77,0.81,0.0,1.75,0.36,0.0
2017,85315,Sácama,85,Casanare,3825.0,Casanare (ETC),521,47.6,47.6,11.36,42.22,50.88,33.33,55.47,38.64,49.33,71.93,46.91,18.083,33.33,0.78,0.0,0.9,1.04,0.0,99.22,0.0,99.1,98.96,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,85325,San Luis de Palenque,85,Casanare,3825.0,Casanare (ETC),1881,79.5,79.48,50.0,85.14,59.72,28.57,88.57,65.0,110.86,81.67,54.7,31.419,8.82,3.96,2.88,4.81,3.38,1.53,87.07,0.0,88.21,81.4,92.37,8.97,0.0,6.98,15.22,6.11,5.39,0.0,2.17,12.47,4.58
2017,85400,Támara,85,Casanare,3825.0,Casanare (ETC),1899,84.1,84.15,67.82,84.65,54.34,33.09,93.31,88.51,115.71,78.78,60.59,19.707,10.42,3.01,3.9,1.22,5.16,7.2,91.21,0.65,93.56,86.1,87.2,5.78,0.65,5.22,8.74,5.6,5.97,0.0,7.77,6.05,0.0
2017,85410,Tauramena,85,Casanare,3825.0,Casanare (ETC),5351,97.1,96.73,56.84,86.21,92.8,52.93,112.26,90.32,106.18,131.69,101.64,26.415,11.54,3.32,1.77,2.92,3.97,3.59,90.4,0.0,91.83,87.11,90.73,6.28,0.0,5.25,8.92,5.68,0.81,0.25,0.93,1.03,0.15
2017,85430,Trinidad,85,Casanare,3825.0,Casanare (ETC),4033,75.6,75.55,60.8,78.61,58.42,27.09,86.66,82.1,104.85,80.81,53.42,23.099,19.35,2.77,3.31,2.29,3.69,1.7,91.22,0.0,91.04,89.54,92.86,6.01,0.0,6.68,6.77,5.44,0.57,0.0,0.25,1.39,0.0
2017,85440,Villanueva,85,Casanare,3825.0,Casanare (ETC),5785,119.3,119.27,87.34,121.33,106.28,58.27,131.65,118.26,144.2,136.69,97.65,31.029,12.5,3.2,2.71,2.52,4.34,2.8,91.12,0.0,92.68,87.61,91.47,5.67,0.0,4.81,8.05,5.73,2.32,0.0,1.74,3.7,1.96
